	title	author	filename	genre	sources
415	Miß Harriet	Georg von Ompteda	Ompteda_MißHarriet_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/harriet/harriet.html
416	Das Haus	Georg von Ompteda	Ompteda_DasHaus_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/haus/haus.html
417	Mondschein	Georg von Ompteda	Ompteda_Mondschein_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/mondsche/mondsche.html
418	Herr Parent	Georg von Ompteda	Ompteda_HerrParent_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/parent/parent.html
419	Der Horla	Georg von Ompteda	Ompteda_DerHorla_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/horla/horla.html
420	Die Schnepfe	Georg von Ompteda	Ompteda_DieSchnepfe_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/schnepfe/schnepfe.html
421	Der Liebling	Georg von Ompteda	Ompteda_DerLiebling_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/maupassa/liebling/liebling.html
422	Ein Menschenleben	Georg von Ompteda	Ompteda_EinMenschenleben_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/maupassa/menschle/menschle.html
423	Stark wie der Tod	Georg von Ompteda	Ompteda_StarkwiederTod_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/maupassa/starktod/starktod.html
424	Dickchen	Georg von Ompteda	Ompteda_Dickchen_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/dickchen/dickchen.html
425	Hans und Peter	Georg von Ompteda	Ompteda_HansundPeter_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/maupassa/hanspete/hanspete.html
426	Die kleine Roque	Georg von Ompteda	Ompteda_DiekleineRoque_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/roque/roque.html
427	Nutzlose Schönheit	Georg von Ompteda	Ompteda_NutzloseSchönheit_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/nutzlos/nutzlos.html
428	Tugendpreis	Georg von Ompteda	Ompteda_Tugendpreis_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/tugendpr/tugendpr.html
